Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
173,환경부(한국자동차환경협회),롯데마트 서현점,2,DC차데모+AC3상+DC콤보,경기도,성남시,경기도 성남시 분당구 황새울로311번길 28-0 ,제한없음,당구 황새울로311번길 28-0 (서현동),37.3860323369942,127.120622274882
175,환경부(한국자동차환경협회),롯데마트 수지점,1,DC차데모+AC3상+DC콤보,경기도,용인시,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",제한없음,"흥구 진산로 116, 4층 31, 정비소 옆",0,0
176,환경부(한국자동차환경협회),롯데마트 수지점,2,DC콤보,경기도,용인시,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",제한없음,"흥구 진산로 116, 4층 31, 정비소 옆",0,0
177,환경부(한국자동차환경협회),롯데마트 수지점,52,DC콤보,경기도,용인시,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",제한없음,"흥구 진산로 116, 4층 31, 정비소 옆",0,0
186,환경부(한국자동차환경협회),롯데마트 신갈점,1,DC차데모+AC3상+DC콤보,경기도,용인시,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",제한없음,"흥구 중부대로 375, 지하2층 10",37.2719908869697,127.10785938159
187,환경부(한국자동차환경협회),롯데마트 신갈점,2,DC콤보,경기도,용인시,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",제한없음,"흥구 중부대로 375, 지하2층 10",37.2719908869697,127.10785938159
188,환경부(한국자동차환경협회),롯데마트 신갈점,52,DC콤보,경기도,용인시,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",제한없음,"흥구 중부대로 375, 지하2층 10",37.2719908869697,127.10785938159
189,환경부(한국자동차환경협회),롯데마트 신영통점,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 삼성1로 333 ,제한없음,성1로 333 (반월동),37.2304393578219,127.066462750971
190,환경부(한국자동차환경협회),롯데마트 신영통점,2,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 삼성1로 333 ,제한없음,성1로 333 (반월동),37.2304393578219,127.066462750971
202,환경부(한국자동차환경협회),롯데마트 오산점,1,DC차데모+AC3상+DC콤보,경기도,오산시,경기도 오산시 경기대로 271-0 5층 37구역,제한없음,기대로 271-0 (오산동)5층 37구역,37.1494512450072,127.073047019053
203,환경부(한국자동차환경협회),롯데마트 의왕점,1,DC차데모+AC3상+DC콤보,경기도,의왕시,경기도 의왕시 계원대학로 7-0 ,제한없음,원대학로 7-0 (내손동),37.3805432278472,126.972871115511
214,환경부(한국자동차환경협회),롯데마트 판교점,1,DC차데모+AC3상+DC콤보,경기도,성남시,경기도 성남시 분당구 삼평동 741 지하 2층 E01번,제한없음,당구 삼평동 741 지하 2층 E01번,37.3955230447958,127.113649112368
215,환경부(한국자동차환경협회),롯데마트 평택점,1,DC차데모+AC3상+DC콤보,경기도,평택시,"경기도 평택시 평택5로 30, 6층 주차장",제한없음,"택5로 30, 6층 주차장",36.9883655372149,127.111760767543
216,환경부(한국자동차환경협회),롯데마트 평택점,2,DC콤보,경기도,평택시,"경기도 평택시 평택5로 30, 6층 주차장",제한없음,"택5로 30, 6층 주차장",36.9883655372149,127.111760767543
217,환경부(한국자동차환경협회),롯데마트 평택점,52,DC콤보,경기도,평택시,"경기도 평택시 평택5로 30, 6층 주차장",제한없음,"택5로 30, 6층 주차장",36.9883655372149,127.111760767543
218,환경부(한국자동차환경협회),롯데마트 피트인산본점,1,DC차데모+AC3상+DC콤보,경기도,군포시,경기도 군포시 번영로 485 ,제한없음,영로 485 (산본동),37.3578052964351,126.93066890189
220,환경부(한국자동차환경협회),롯데아울렛 이천점1,1,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
221,환경부(한국자동차환경협회),롯데아울렛 이천점1,2,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
222,환경부(한국자동차환경협회),롯데아울렛 이천점1,3,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
223,환경부(한국자동차환경협회),롯데아울렛 이천점1,4,DC콤보,경기도,이천시,경기도 이천시 호법면 프리미엄 아울렛로 177-74,제한없음,법면 프리미엄 아울렛로 177-74,37.2422268786208,127.400026089807
