Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
6025,에버온,김포 고창마을반도유보라,1,AC완속,경기도,김포시,"경기도 김포시 김포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이",제한없음,"포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이"
6026,에버온,김포 고창마을반도유보라,2,AC완속,경기도,김포시,"경기도 김포시 김포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이",제한없음,"포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이"
6027,에버온,김포 고창마을반도유보라,3,AC완속,경기도,김포시,"경기도 김포시 김포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이",제한없음,"포한강1로 9 (장기동, 고창마을 반도유보라)B1F 906 ~ 907동 사이"
6028,에버온,김포 반도유보라2차아파트,1,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6029,에버온,김포 반도유보라2차아파트,2,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6030,에버온,김포 반도유보라2차아파트,3,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6031,에버온,김포 반도유보라2차아파트,4,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6032,에버온,김포 반도유보라2차아파트,5,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6033,에버온,김포 반도유보라2차아파트,6,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
6034,에버온,김포 반도유보라2차아파트,7,AC완속,경기도,김포시,"경기도 김포시 김포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)",제한없음,"포한강11로 276 (운양동, 김포 한강신도시 반도유보라 2차)"
