,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
1355,한국전력,하가등천주차장,1,DC콤보,경기도,화성시,경기도 화성시 향남읍 발안천길 78-5주차장,제한없음,남읍 발안천길 78-5주차장
1356,한국전력,하나로마트 진접점,1,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 진접읍 해밀예당1로 8,제한없음,진접읍 해밀예당1로 8
1357,한국전력,하나로마트 진접점,2,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 진접읍 해밀예당1로 8,제한없음,진접읍 해밀예당1로 8
1358,한국전력,하남지사,1,DC차데모+AC3상+DC콤보,경기도,하남시,경기도 하남시 검단산로 233,제한없음,단산로 233
1359,한국전력,하안도서관,1,DC콤보,경기도,광명시,경기도 광명시 철망산로 46(683 광명시하안도서관),제한없음,망산로 46(683 광명시하안도서관)
1360,한국전력,한국건설기술연구원,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 고양대로 315,제한없음,산서구 고양대로 315
1361,한국전력,한국건설기술연구원,2,AC완속,경기도,고양시,경기도 고양시 일산서구 고양대로 315,제한없음,산서구 고양대로 315
1362,한국전력,한국건설기술연구원,3,AC완속,경기도,고양시,경기도 고양시 일산서구 고양대로 315,제한없음,산서구 고양대로 315
1363,한국전력,한국건설기술연구원,4,AC완속,경기도,고양시,경기도 고양시 일산서구 고양대로 315,제한없음,산서구 고양대로 315
1364,한국전력,한국농어촌공사 여주이천지사,1,DC콤보,경기도,여주시,경기도 여주시 능서면 양화로 816(신지리 955-5),제한없음,서면 양화로 816(신지리 955-5)
1365,한국전력,한국농어촌공사(100kw),1,DC콤보,경기도,연천군,경기도 연천군 전곡읍 전곡로 15(한국전력공사 연천지사),제한없음,곡읍 전곡로 15(한국전력공사 연천지사)
1366,한국전력,한국전력 연천지사,1,DC콤보,경기도,연천군,경기도 연천군 전곡읍 전곡로 15(한국전력공사 연천지사),제한없음,곡읍 전곡로 15(한국전력공사 연천지사)
1367,한국전력,한국전력 연천지사,2,DC콤보,경기도,연천군,경기도 연천군 전곡읍 전곡로 15(한국전력공사 연천지사),제한없음,곡읍 전곡로 15(한국전력공사 연천지사)
1368,한국전력,한국전력 연천지사(50kw),1,DC콤보,경기도,연천군,경기도 연천군 전곡읍 전곡로 15(한국전력공사 연천지사),제한없음,곡읍 전곡로 15(한국전력공사 연천지사)
1369,한국전력,한전김포지사,1,DC콤보,경기도,김포시,경기도 김포시 태장로 773주차장,제한없음,장로 773주차장
1370,한국전력,해동놀이터노외주차장,1,DC콤보,경기도,안양시,경기도 안양시 동안구 관악대로287번길 104-22(1393-4 수촌경로당),제한없음,안구 관악대로287번길 104-22(1393-4 수촌경로당)
1371,한국전력,현덕면 행정복지센터,1,DC콤보,경기도,평택시,경기도 평택시 현덕면 인광길 84(402-12 현덕면사무소),제한없음,덕면 인광길 84(402-12 현덕면사무소)
1372,한국전력,홈플러스 고양터미널점,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 중앙로 1036,제한없음,산동구 중앙로 1036
1373,한국전력,홈플러스 북수원점,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 장안구 송원로 81,제한없음,안구 송원로 81
1374,한국전력,홈플러스 서수원점,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 권선구 금곡로 236(금곡로 236),제한없음,선구 금곡로 236(금곡로 236)
1375,한국전력,홈플러스 영통점,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 영통구 봉영로 1576,제한없음,통구 봉영로 1576
1376,한국전력,홈플러스 원천점,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 영통구 중부대로 437,제한없음,통구 중부대로 437
1377,한국전력,홈플러스 진접점,1,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 진접읍 금강로 1447,제한없음,진접읍 금강로 1447
1378,한국전력,홈플러스 평촌점,1,DC차데모+AC3상+DC콤보,경기도,안양시,경기도 안양시 동안구 동안로 162,제한없음,안구 동안로 162
1379,한국전력,홈플러스 평택안중점,1,DC차데모+AC3상+DC콤보,경기도,평택시,경기도 평택시 안중읍 서동대로 1489,제한없음,중읍 서동대로 1489
1380,한국전력,홈플러스 포천송우점,1,DC콤보,경기도,포천시,경기도 포천시 소흘읍 솔모루로 9,제한없음,흘읍 솔모루로 9
1381,한국전력,홈플러스 화성향남점,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 향남읍 향남로 402,제한없음,남읍 향남로 402
1382,한국전력,화도수동행정복지센터,1,DC콤보,경기도,남양주시,경기도 남양주시 화도읍 비룡로 59(548 화도수동행정복지센터),제한없음,화도읍 비룡로 59(548 화도수동행정복지센터)
1383,한국전력,화서역 환승주차장,1,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 팔달구 덕영대로 691-13,제한없음,달구 덕영대로 691-13
1384,한국전력,화서역 환승주차장,2,DC차데모+AC3상+DC콤보,경기도,수원시,경기도 수원시 팔달구 덕영대로 691-13,제한없음,달구 덕영대로 691-13
1385,한국전력,화성시 보건소,1,DC콤보,경기도,화성시,경기도 화성시 향남읍 발안리 309,제한없음,남읍 발안리 309
1386,한국전력,화성시 보건소,2,DC콤보,경기도,화성시,경기도 화성시 향남읍 발안리 309,제한없음,남읍 발안리 309
1387,한국전력,화성지사,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 마도면 석교리 243-73지사 후면 주차장(주차장진입시 정면에 위치)(마도북로 403),제한없음,도면 석교리 243-73지사 후면 주차장(주차장진입시 정면에 위치)(마도북로 403)
1388,한국전력,화성지사,2,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 마도면 석교리 243-73지사 후면 주차장(주차장진입시 정면에 위치)(마도북로 403),제한없음,도면 석교리 243-73지사 후면 주차장(주차장진입시 정면에 위치)(마도북로 403)
1389,한국전력,화정환승공영주차장,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 화정로 63,제한없음,양구 화정로 63
1390,한국전력,황새울국민체육센터,1,DC콤보,경기도,성남시,경기도 성남시 분당구 황새울로 273(수내동 43),제한없음,당구 황새울로 273(수내동 43)
1391,한국전력,황지리마을회관,1,DC콤보,경기도,연천군,경기도 연천군 군남면 황남로 43(30-1 황지리마을회관),제한없음,남면 황남로 43(30-1 황지리마을회관)
1392,한국전력,회천1동주민센터,1,DC차데모+AC3상+DC콤보,경기도,양주시,경기도 양주시 덕정길 67,제한없음,정길 67
1393,한국전력,흥천면 행정복지센터,1,DC콤보,경기도,여주시,경기도 여주시 흥천면 효자로 154(376-6 흥천면사무소),제한없음,천면 효자로 154(376-6 흥천면사무소)
1394,한국전기차충전서비스,GS25 G파주조인점,1,DC차데모+DC콤보,경기도,파주시,경기도 파주시 창곡동길 27(151-12 조인에너지셀프야동점),제한없음,곡동길 27(151-12 조인에너지셀프야동점)
1395,한국전기차충전서비스,GS25 청북IC점,1,DC차데모+DC콤보,경기도,평택시,경기도 평택시 청북읍 서해로 1758(현곡리 342-13),제한없음,북읍 서해로 1758(현곡리 342-13)
1396,한국전기차충전서비스,GS25 파주부흥점,1,DC차데모+DC콤보,경기도,파주시,경기도 파주시 광탄면 부흥로 115(창만리 132-16),제한없음,탄면 부흥로 115(창만리 132-16)
1397,한국전기차충전서비스,GS25 화성양감점,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 양감면 정문송산로 160-2(송산리 720),제한없음,감면 정문송산로 160-2(송산리 720)
1398,한국전기차충전서비스,LF스퀘어 양주점,1,DC차데모+AC3상+DC콤보,경기도,양주시,경기도 양주시 평화로1593(양주시 회정동 453-19),제한없음,화로1593(양주시 회정동 453-19)
1399,한국전기차충전서비스,LF스퀘어 양주점,2,AC완속,경기도,양주시,경기도 양주시 평화로1593(양주시 회정동 453-19),제한없음,화로1593(양주시 회정동 453-19)
1400,한국전기차충전서비스,LS오토모티브테크놀로지스 제1공장,1,AC완속,경기도,안산시,경기도 안산시 단원구 산단로 31(원시동 743-5),제한없음,원구 산단로 31(원시동 743-5)
1401,한국전기차충전서비스,㈜영원무역,1,AC완속,경기도,이천시,경기도 이천시 호법면 프리미엄아울렛로 177-177,제한없음,법면 프리미엄아울렛로 177-177
1402,한국전기차충전서비스,가평사계절썰매장,1,AC완속,경기도,가평군,경기도 가평군 상면 깃대봉길 5-20(157-3 가평눈썰매장),제한없음,면 깃대봉길 5-20(157-3 가평눈썰매장)
1403,한국전기차충전서비스,가평읍사무소,1,DC차데모+AC3상+DC콤보,경기도,가평군,경기도 가평군 가평읍 가화로62(가평읍 읍내리 367),제한없음,평읍 가화로62(가평읍 읍내리 367)
1404,한국전기차충전서비스,갈매중앙공원,1,DC차데모+AC3상+DC콤보,경기도,구리시,경기도 구리시 갈매동 301-2,제한없음,매동 301-2
1405,한국전기차충전서비스,갈미한글공원,1,DC차데모+DC콤보,경기도,의왕시,경기도 의왕시 문화예술로 65(내손동 228-1),제한없음,화예술로 65(내손동 228-1)
1406,한국전기차충전서비스,갈미한글공원,2,DC차데모+DC콤보,경기도,의왕시,경기도 의왕시 문화예술로 65(내손동 228-1),제한없음,화예술로 65(내손동 228-1)
1407,한국전기차충전서비스,강욱순스포츠센터,1,DC차데모+AC3상+DC콤보,경기도,안산시,경기도 안산시 단원구 첨단로644,제한없음,원구 첨단로644
1408,한국전기차충전서비스,강욱순스포츠센터,2,AC완속,경기도,안산시,경기도 안산시 단원구 첨단로644,제한없음,원구 첨단로644
1409,한국전기차충전서비스,거모동 제1공영주차장,1,DC차데모+AC3상+DC콤보,경기도,시흥시,경기도 시흥시 거모동 1725-1,제한없음,모동 1725-1
1410,한국전기차충전서비스,경기RnDB센터,1,DC차데모+DC콤보,경기도,수원시,경기도 수원시 영통구 광교로 105(이의동 906-5),제한없음,통구 광교로 105(이의동 906-5)
1411,한국전기차충전서비스,경기대진테크노파크,1,DC차데모+DC콤보,경기도,포천시,경기도 포천시 자작로 155(자작동 588-4),제한없음,작로 155(자작동 588-4)
